,loc_time,latitude,longitude,speed,direction
1,1533053198.0,28.654247655289,115.93452369919,0.26739719551756,358.86706324367
2,1533053198.0,28.654429061882,115.93452038133,0.26739719551756,179.35719212059
3,1533053365.0,28.653948000257,115.93453045545,5.3357835394705,159.19005771856
4,1533053365.0,28.653524455737,115.9347358996,5.3357835394705,179.72680516161
5,1533053483.0,28.652726466053,115.9347390421,12.475383835298,237.73883758539
6,1533053528.0,28.652138030816,115.93339580957,25.142494258233,287.99255680595
7,1533053557.0,28.652655377565,115.93114464425,16.435902740063,290.53454805268
8,1533053634.0,28.653508036556,115.92843634558,3.8322703028822,32.766131424988
9,1533053707.0,28.654107802146,115.92887355958,3.8322703028822,32.570542736425
10,1533053708.0,28.654238337218,115.92890603697,9.9464694892272,32.35417730641
11,1533053784.0,28.656710290914,115.93067378259,18.257625341817,17.995475751248
12,1533053929.0,28.661020446123,115.93196683025,10.956248787179,268.05019221094
13,1533053940.0,28.661629253741,115.92098579066,29.239314454701,270.40798874566
14,1533054071.0,28.661291628938,115.917579292,36.187439527761,269.46792486626
15,1533054210.0,28.661258706066,115.90856382132,29.759324841071,269.04569872288
16,1533054211.0,28.661256984541,115.9084470447,27.540065936788,269.02897046712
17,1533054211.0,28.660857845331,115.88710693572,27.540065936788,272.34124081504
18,1533054490.0,28.661074537931,115.88503399753,20.912682123353,279.36852511984
19,1533054555.0,28.661612615047,115.88154228057,40.875375187377,286.2740488145
20,1533054575.0,28.662493381697,115.87902008005,45.974290968114,296.4963275841
21,1533054720.0,28.669678169643,115.86283425054,45.974290968114,297.18633945743
22,1533054721.0,28.66972554035,115.86272916237,40.143362919254,297.20173678227
23,1533054764.0,28.671710796391,115.85836322021,21.861779598647,338.32506044917
24,1533054764.0,28.671909519302,115.85827320164,21.861779598647,299.78312521225
25,1533054777.0,28.672208275639,115.85767826574,20.744994981299,347.02304544681
26,1533054785.0,28.672586342861,115.8575573149,29.80337986474,15.252810764752
27,1533054804.0,28.686592467164,115.86138481585,17.528459050651,13.628614548066
28,1533055103.0,28.687494489207,115.86163803192,7.4819528663024,13.847301173172
29,1533055168.0,28.688497483366,115.86191635859,19.51611205358,18.379931177766
30,1533055223.0,28.690323071274,115.86290252449,19.51611205358,25.667850405612
31,1533055224.0,28.690341565635,115.86291265614,8.9472531532195,25.667060773846
32,1533055224.0,28.692600150716,115.86407521716,8.9472531532195,48.66628982051
33,1533055337.0,28.692863150964,115.86456673061,14.83221683426,114.39545646928
34,1533055433.0,28.692328272603,115.86593665565,6.1464121018894,0.7660176717577
35,1533055527.0,28.692928425789,115.86591822412,0.45814876112016,283.95224928918
36,1533055825.0,28.692962509441,115.86576183084,,283.95224928918
37,1533055955.0,28.692962509441,115.86576183084,,283.95224928918
38,1533055956.0,28.692944334507,115.86584521419,0.2378329272991,103.949943209
39,1533056174.0,28.692398288521,115.86593772282,9.9302991549403,294.04765521077
40,1533056330.0,28.694351715781,115.8611190824,3.4443046474176,198.96361543014
41,1533056468.0,28.69044436804,115.8597148335,34.026012210351,195.80636538674
42,1533056469.0,28.690363634995,115.85968877947,19.125237623889,195.80698504257
43,1533056469.0,28.689632582518,115.85942206302,19.125237623889,204.91616974852
44,1533056503.0,28.686085625919,115.85755301518,15.265252632188,205.82205496755
45,1533056802.0,28.676952119523,115.85251216921,25.659851571105,205.06156350931
46,1533056831.0,28.676769265734,115.85241470776,29.236169920057,239.66870371497
47,1533056847.0,28.676462364484,115.85129191091,35.093102440201,239.16906274026
48,1533056860.0,28.675481885272,115.85062987067,15.83341228865,210.3747307713
49,1533056873.0,28.675914337074,115.84944418823,42.752678788578,263.21920902155
50,1533056873.0,28.675890570522,115.84921636272,42.752678788578,297.98801577866
51,1533056971.0,28.680541481005,115.83919547554,42.752678788578,300.46593999798
52,1533056972.0,28.680597070337,115.83909656726,38.83912943179,302.70800428565
53,1533056995.0,28.682100695544,115.83695613588,29.802082597624,350.77802185988
54,1533057001.0,28.682519526183,115.83697162148,49.001315061461,27.112244715077
55,1533057001.0,28.682868905233,115.83739788768,49.001315061461,79.683271630413
56,1533057007.0,28.682864787293,115.83784690172,40.508741702879,108.36161631002
57,1533057014.0,28.682647568157,115.83818821693,56.488572230379,142.47389005791
58,1533057014.0,28.682316602274,115.8382923545,56.488572230379,187.24136151605
59,1533057017.0,28.681950504759,115.83818149439,41.475719345762,227.6009947214
60,1533057021.0,28.681157464314,115.83701045085,47.842028495831,237.80845225807
61,1533057031.0,28.68040406537,115.83541955818,47.974475246082,247.44118827194
62,1533057044.0,28.679885446184,115.83383697006,7.1247356074539,253.1571736704
63,1533057343.0,28.676930792989,115.82246647348,20.399483869991,253.80885348867
64,1533057480.0,28.67681300352,115.8220040892,20.399483869991,253.80885348867
65,1533057481.0,28.676820806164,115.82195226314,29.051316382323,279.8588978988
66,1533057481.0,28.676855615894,115.82172396061,29.051316382323,255.46641710962
67,1533057481.0,28.676148763855,115.81878056126,29.051316382323,261.07106828133
68,1533057533.0,28.675999626993,115.81724348051,20.076993023621,336.6661058597
69,1533057557.0,28.677804232263,115.81625980361,19.58075518354,318.96101652808
70,1533057629.0,28.681623630601,115.8134980937,7.2770688908215,303.67995092816
71,1533057669.0,28.681781173661,115.81326587441,25.106788244661,229.3230254036
72,1533057828.0,28.675222306339,115.80453949972,68.643951323636,224.14947320103
73,1533057985.0,28.676165706172,115.79848447952,19.287718948199,264.92064170251
74,1533058025.0,28.675995078621,115.79629645446,11.836733033403,308.87934606093
75,1533058038.0,28.676236350267,115.79595539011,15.606083059934,283.19358719769
